dataset,metodo,tiempo
NBA 2016,colley,6872
NBA 2016,colley,5365
NBA 2016,colley,5019
NBA 2016,colley,6046
NBA 2016,colley,5583
NBA 2016,colley,5030
NBA 2016,colley,4834
NBA 2016,colley,5404
NBA 2016,colley,4331
NBA 2016,colley,6394
NBA 2016,wp,4304
NBA 2016,wp,3827
NBA 2016,wp,6621
NBA 2016,wp,4114
NBA 2016,wp,4010
NBA 2016,wp,7271
NBA 2016,wp,4573
NBA 2016,wp,3563
NBA 2016,wp,5957
NBA 2016,wp,5167
NBA 2016,sr,3611
NBA 2016,sr,5630
NBA 2016,sr,5652
NBA 2016,sr,5029
NBA 2016,sr,5999
NBA 2016,sr,7256
NBA 2016,sr,6280
NBA 2016,sr,8478
NBA 2016,sr,4580
NBA 2016,sr,6209
ATP 2015,colley,4360
ATP 2015,colley,6040
ATP 2015,colley,7943
ATP 2015,colley,8788
ATP 2015,colley,17950
ATP 2015,colley,19655
ATP 2015,colley,32142
ATP 2015,colley,32487
ATP 2015,colley,37702
ATP 2015,colley,22554
ATP 2015,wp,27049
ATP 2015,wp,15585
ATP 2015,wp,9353
ATP 2015,wp,10112
ATP 2015,wp,11561
ATP 2015,wp,11120
ATP 2015,wp,8632
ATP 2015,wp,9823
ATP 2015,wp,5773
ATP 2015,wp,4710
ATP 2015,sr,7823
ATP 2015,sr,4352
ATP 2015,sr,5072
ATP 2015,sr,5166
ATP 2015,sr,4888
ATP 2015,sr,5713
ATP 2015,sr,4499
ATP 2015,sr,3593
ATP 2015,sr,2979
ATP 2015,sr,5870
NFL 2019,colley,7505
NFL 2019,colley,4888
NFL 2019,colley,5651
NFL 2019,colley,4360
NFL 2019,colley,4407
NFL 2019,colley,7677
NFL 2019,colley,4367
NFL 2019,colley,3313
NFL 2019,colley,4969
NFL 2019,colley,5427
NFL 2019,wp,4956
NFL 2019,wp,6420
NFL 2019,wp,5377
NFL 2019,wp,3606
NFL 2019,wp,5278
NFL 2019,wp,4695
NFL 2019,wp,4408
NFL 2019,wp,6180
NFL 2019,wp,6531
NFL 2019,wp,4968
NFL 2019,sr,6484
NFL 2019,sr,6197
NFL 2019,sr,5755
NFL 2019,sr,7152
NFL 2019,sr,7863
NFL 2019,sr,6612
NFL 2019,sr,3993
NFL 2019,sr,6412
NFL 2019,sr,5491
NFL 2019,sr,3878
NHL 2019,colley,4845
NHL 2019,colley,4074
NHL 2019,colley,4276
NHL 2019,colley,3078
NHL 2019,colley,4829
NHL 2019,colley,4443
NHL 2019,colley,3760
NHL 2019,colley,3264
NHL 2019,colley,4967
NHL 2019,colley,3934
NHL 2019,wp,3663
NHL 2019,wp,3241
NHL 2019,wp,5016
NHL 2019,wp,4940
NHL 2019,wp,3307
NHL 2019,wp,4329
NHL 2019,wp,4204
NHL 2019,wp,4543
NHL 2019,wp,3230
NHL 2019,wp,3659
NHL 2019,sr,4377
NHL 2019,sr,4229
NHL 2019,sr,3314
NHL 2019,sr,2945
NHL 2019,sr,4771
NHL 2019,sr,4558
NHL 2019,sr,3308
NHL 2019,sr,2765
NHL 2019,sr,5132
NHL 2019,sr,6510
