dataset,metodo,tiempo
NBA 2016,colley,197.937
NBA 2016,colley,148.164
NBA 2016,colley,353.806
NBA 2016,colley,137.558
NBA 2016,colley,142.681
NBA 2016,colley,153.31
NBA 2016,colley,701.979
NBA 2016,colley,308.304
NBA 2016,colley,200.838
NBA 2016,colley,160.518
NBA 2016,colley,150.655
NBA 2016,colley,146.642
NBA 2016,colley,410.499
NBA 2016,colley,279.077
NBA 2016,colley,212.159
NBA 2016,colley,139.013
NBA 2016,colley,143.933
NBA 2016,colley,142.717
NBA 2016,colley,143.726
NBA 2016,colley,154.871
NBA 2016,colley,152.246
NBA 2016,colley,154.755
NBA 2016,colley,147.99
NBA 2016,colley,336.71
NBA 2016,colley,156.246
NBA 2016,colley,338.452
NBA 2016,colley,152.484
NBA 2016,colley,154.825
NBA 2016,colley,270.449
NBA 2016,colley,134.391
NBA 2016,colley,141.752
NBA 2016,colley,140.196
NBA 2016,colley,539.87
NBA 2016,colley,331.546
NBA 2016,colley,146.94
NBA 2016,colley,288.235
NBA 2016,colley,187.612
NBA 2016,colley,357.49
NBA 2016,colley,211.28
NBA 2016,colley,173.783
NBA 2016,colley,140.041
NBA 2016,colley,132.453
NBA 2016,colley,165.201
NBA 2016,colley,183.9
NBA 2016,colley,170.847
NBA 2016,colley,147.309
NBA 2016,colley,254.89
NBA 2016,colley,136.191
NBA 2016,colley,191.708
NBA 2016,colley,198.661
NBA 2016,wp,116.61
NBA 2016,wp,80.837
NBA 2016,wp,299.248
NBA 2016,wp,84.44
NBA 2016,wp,207.828
NBA 2016,wp,92.016
NBA 2016,wp,96.623
NBA 2016,wp,91.586
NBA 2016,wp,118.445
NBA 2016,wp,90.627
NBA 2016,wp,239.483
NBA 2016,wp,92.959
NBA 2016,wp,131.639
NBA 2016,wp,82.39
NBA 2016,wp,279.719
NBA 2016,wp,81.109
NBA 2016,wp,89.419
NBA 2016,wp,90.204
NBA 2016,wp,83.634
NBA 2016,wp,86.115
NBA 2016,wp,87.895
NBA 2016,wp,113.137
NBA 2016,wp,84.418
NBA 2016,wp,86.705
NBA 2016,wp,84.843
NBA 2016,wp,86.938
NBA 2016,wp,123.783
NBA 2016,wp,82.454
NBA 2016,wp,143.865
NBA 2016,wp,81.437
