k,accuracy,precision,time
1.0,0.9673809523809523,0.967850078501165,1687.0522532463074
2.0,0.9673809523809523,0.967850078501165,1694.1492280960083
3.0,0.9709523809523809,0.9715358657103088,1700.1457030773163
4.0,0.9723809523809523,0.972934455632686,1699.3803720474243
5.0,0.9705952380952381,0.9713022685787893,1699.5555787086487
6.0,0.9711904761904762,0.9720145515230165,1692.9211175441742
7.0,0.9698809523809524,0.9708484575229889,1695.241857290268
8.0,0.9698809523809524,0.9708082464064038,1698.6811792850494
9.0,0.9680952380952381,0.969241033675905,1697.183739900589
10.0,0.968452380952381,0.9696624537782496,1697.2720420360565
11.0,0.9655952380952381,0.9669366043905576,1711.7572486400604
12.0,0.9648809523809524,0.9663372245857399,1712.38543343544
13.0,0.963452380952381,0.9650438656053428,1709.5797646045685
14.0,0.9623809523809523,0.9640227192517011,1708.959877729416
15.0,0.9615476190476191,0.9631916648068046,1717.3332843780518
16.0,0.960952380952381,0.9626597710917364,1713.7009072303772
17.0,0.96,0.9617725460255049,1733.9461414813995
18.0,0.9607142857142857,0.9624287567278549,1753.002305984497
19.0,0.9592857142857143,0.961276199326519,1752.5867414474487
20.0,0.9589285714285715,0.9609832391839607,1757.0231692790985
21.0,0.9573809523809523,0.9595615739957584,1756.1183335781097
22.0,0.9573809523809523,0.9596072404416738,1759.3335785865784
23.0,0.9561904761904761,0.9585579968796715,1761.754275560379
24.0,0.9563095238095238,0.9585741364119492,1761.3213682174683
25.0,0.9553571428571429,0.9577429920460911,1762.99187874794
26.0,0.9548809523809524,0.9573483444112938,1766.3012132644653
27.0,0.9539285714285715,0.9563221746315321,1762.2697427272797
28.0,0.9533333333333334,0.9557190736385335,1759.077621936798
29.0,0.9533333333333334,0.9558260450177325,1762.7429461479187
30.0,0.9527380952380953,0.9551869419283335,1764.8775537014008
31.0,0.9517857142857142,0.9544380722450965,1763.5229609012604
32.0,0.9511904761904761,0.9539749473689303,1768.7573173046112
33.0,0.9513095238095238,0.9541294075569662,1762.825983762741
34.0,0.9508333333333333,0.9537364130760931,1761.6366493701935
35.0,0.9507142857142857,0.9537657092491232,1767.1799132823944
36.0,0.9510714285714286,0.9540971802819289,1759.3728454113007
37.0,0.9496428571428571,0.9526346916042506,1762.6619052886963
38.0,0.9495238095238095,0.9526168338284913,1768.8301272392273
39.0,0.9495238095238095,0.9527419848048753,1766.3644683361053
40.0,0.9486904761904762,0.9519618425198392,1765.1456706523895
41.0,0.9482142857142857,0.9515752642093045,1770.713195323944
42.0,0.9473809523809524,0.9506937486551091,1768.5884363651276
43.0,0.9473809523809524,0.9506900706396243,1771.2030520439148
44.0,0.9466666666666667,0.9500304392927414,1781.5191855430603
45.0,0.9466666666666667,0.950032284124157,1772.2890560626984
46.0,0.945952380952381,0.9493425276239021,1772.472750902176
47.0,0.945952380952381,0.9493971967669171,1769.1438319683075
48.0,0.9457142857142857,0.9491726881234301,1772.5120680332184
49.0,0.9453571428571429,0.9488331289853587,1775.970163345337
