K,accuracy,precision,recall,f1_score
2,0.9709523809523809,0.9707967183543147,0.97075073223992,0.9707341760536335
3,0.9744285714285714,0.974358173750623,0.9741282728853665,0.9741958461179822
4,0.9737142857142858,0.9737334859484088,0.9735761965893881,0.973610457738553
5,0.9754761904761905,0.9757752895507844,0.975454779481824,0.9755562010646865
6,0.9761428571428571,0.9761394638985037,0.9761865211698215,0.9760609646818936
7,0.9766666666666667,0.9765266382795786,0.9761834513153923,0.9763186300103956
8,0.9737142857142858,0.9735107934047822,0.9737746251906634,0.9735854010699077
9,0.9779301478465824,0.9780331976204282,0.9777255106088001,0.9778382730049817
10,0.9776190476190476,0.9774004229507476,0.9774215494743176,0.977301292900892
11,0.9756480754124116,0.9753030267286527,0.9755860739379656,0.975345748215388
12,0.982,0.9822601495225651,0.9819141827409401,0.9820526788029247
13,0.9770968740328072,0.977034485474151,0.9773279487539132,0.97711245826758
14,0.9763333333333334,0.9764113340201221,0.9764222566864085,0.9763424636931
15,0.9814285714285714,0.9811490820296213,0.9810000126307614,0.9810528521611344
16,0.9718095238095238,0.9717188430548745,0.9713746630718576,0.971446221869666
17,0.9761230271145286,0.9759060219022467,0.9756335384050023,0.9757230305453716
18,0.9794344473007712,0.9795179323969967,0.9791484382246018,0.9792955105032719
19,0.9787426503844414,0.9785801360861173,0.9786889952051417,0.9785772866498286
20,0.9795238095238096,0.9794708045722468,0.9795703899296548,0.9794762363581606
