K,alpha,accuracy,precision,recall,f1_score
6,53,0.5144285714285715,0.5144285714285715,0.5144285714285715,0.5144285714285715
6,94,0.7394285714285714,0.7394285714285714,0.7394285714285714,0.7394285714285714
7,53,0.6853333333333333,0.6853333333333333,0.6853333333333333,0.6853333333333333
7,94,0.7055,0.7055,0.7055,0.7055
8,53,0.8670476190476191,0.8670476190476191,0.8670476190476191,0.8670476190476191
8,94,0.8847619047619047,0.8847619047619047,0.8847619047619047,0.8847619047619047
9,53,0.8840797085922434,0.8840797085922434,0.8840797085922434,0.8840797085922434
9,94,0.8847225198200128,0.8847225198200128,0.8847225198200128,0.8847225198200128
10,53,0.20714285714285716,0.20714285714285716,0.20714285714285716,0.20714285714285716
10,94,0.8919047619047619,0.8919047619047619,0.8919047619047619,0.8919047619047619
