K,alpha,accuracy,precision,recall,f1_score
11,53,0.1866980885048442,0.1866980885048442,0.1866980885048442,0.1866980885048442
11,94,0.7549096622152396,0.7549096622152396,0.7549096622152396,0.7549096622152397
12,53,0.18514285714285714,0.18514285714285714,0.18514285714285714,0.18514285714285714
12,94,0.9117142857142857,0.9117142857142857,0.9117142857142857,0.9117142857142856
13,53,0.17951098731043022,0.17951098731043022,0.17951098731043022,0.17951098731043022
13,94,0.8944599195295574,0.8944599195295574,0.8944599195295574,0.8944599195295574
14,53,0.18766666666666668,0.18766666666666668,0.18766666666666668,0.18766666666666668
14,94,0.9126666666666666,0.9126666666666666,0.9126666666666666,0.9126666666666666
15,53,0.11,0.11,0.11,0.11
15,94,0.865,0.865,0.865,0.865
