K,alpha,accuracy,precision,recall,f1_score
16,53,0.1020952380952381,0.1020952380952381,0.1020952380952381,0.1020952380952381
16,94,0.8925714285714286,0.8925714285714286,0.8925714285714286,0.8925714285714286
17,53,0.17968433832456496,0.17968433832456496,0.17968433832456496,0.17968433832456496
17,94,0.8907324969647916,0.8907324969647916,0.8907324969647916,0.8907324969647916
18,53,0.20051413881748073,0.20051413881748073,0.20051413881748073,0.20051413881748076
18,94,0.8988860325621251,0.8988860325621251,0.8988860325621251,0.8988860325621251
19,53,0.18815015829941203,0.18815015829941203,0.18815015829941203,0.18815015829941203
19,94,0.9063772048846676,0.9063772048846676,0.9063772048846676,0.9063772048846676
20,53,0.17809523809523808,0.17809523809523808,0.17809523809523808,0.1780952380952381
20,94,0.5723809523809524,0.5723809523809524,0.5723809523809524,0.5723809523809524
