K,accuracy,precision,recall,f1_score
2,0.9628571428571429,0.9634906089784774,0.9623766045373585,0.9627011520018428
3,0.9657142857142857,0.9660347984088823,0.9652212016396071,0.9654293448727025
4,0.9683809523809523,0.9687086387195356,0.9680421733449964,0.9682530297461847
5,0.9695238095238096,0.9696129938727296,0.9690908633682609,0.9691434376647674
6,0.9697142857142858,0.9699504345959097,0.9694880368585956,0.9696156455169955
7,0.9696666666666667,0.9701251462363587,0.9692874176304296,0.9695696559996104
8,0.9716190476190476,0.9719138509326269,0.9711252324424408,0.9713693385225415
9,0.9734304692521962,0.9734791234861921,0.9732326657169926,0.9732261770935582
10,0.9719047619047619,0.9719448678554888,0.971447050162179,0.9715616424539635
11,0.9672689185650694,0.9679449961043227,0.9671479186816635,0.9673717988779614
12,0.9714285714285714,0.9713723629840866,0.9710544803170065,0.9709464110863312
13,0.9758588672237697,0.976376533060938,0.9755170168212091,0.9758575466203203
14,0.9696666666666667,0.9702816421981723,0.9690620654198312,0.9695305159141187
15,0.9703571428571428,0.9707704612242575,0.9694360775330109,0.9699312051268084
16,0.9706666666666667,0.9703366643914728,0.9695970052425349,0.9698360517723037
17,0.971266693646297,0.9710577896672248,0.9708291120784176,0.9708010016516052
18,0.9712939160239932,0.971425468275567,0.9713022014597046,0.971232046743431
19,0.968340117593849,0.9689003382611034,0.9680592974722406,0.968144792970501
20,0.97,0.9713835166381086,0.9706022553576718,0.9707503503920151
