K,tiempo,alpha
2,112.094150543213,alpha_53
2,178.772074460983,alpha_94
3,107.849704504013,alpha_53
3,170.777030229568,alpha_94
4,92.972127199173,alpha_53
4,141.634060382843,alpha_94
5,79.8345692157745,alpha_53
5,121.580258369446,alpha_94
6,71.9444422721863,alpha_53
6,110.392761945725,alpha_94
7,61.8705713748932,alpha_53
7,94.7944977283478,alpha_94
8,55.950991153717,alpha_53
8,85.6559011936188,alpha_94
9,51.0267612934113,alpha_53
9,77.9658019542694,alpha_94
10,47.4395728111267,alpha_53
10,71.7417666912079,alpha_94
11,45.6973927021027,alpha_53
11,63.9950144290924,alpha_94
12,41.0667831897736,alpha_53
12,59.3309817314148,alpha_94
13,39.2928125858307,alpha_53
13,55.5459158420563,alpha_94
14,36.9440977573395,alpha_53
14,52.9562430381775,alpha_94
15,31.9177982807159,alpha_53
15,49.3542618751526,alpha_94
16,30.741108417511,alpha_53
16,46.8356332778931,alpha_94
17,31.5254426002502,alpha_53
17,44.2648975849152,alpha_94
18,30.2236135005951,alpha_53
18,42.5765821933746,alpha_94
19,28.9995937347412,alpha_53
19,40.4244103431702,alpha_94
20,27.9809288978577,alpha_53
20,40.061249256134,alpha_94
