tamaño,accuracy,precision,recall,f1_score
100,0.6620370370370371,0.5668650793650793,0.5653439153439154,0.5420823885109598
200,0.7803308823529411,0.7197034832451498,0.7476444003527337,0.7119104308390023
300,0.8233333333333333,0.8129343033509701,0.792391975308642,0.7800327013521459
400,0.8526440879382055,0.8303780864197531,0.8349018959435627,0.8179749190056208
500,0.8359949670925282,0.8317063492063492,0.8303538359788357,0.8142852852914771
600,0.8566666666666668,0.860707671957672,0.8572982804232803,0.8445356521130515
700,0.8973066432885252,0.8899558080808081,0.8874155242905242,0.8771254505155435
800,0.8975576662143826,0.8947372534872535,0.8917577561327561,0.8852366128303101
900,0.8822222222222224,0.8863493729854026,0.8819993663743664,0.8710738947137497
1000,0.8840600497227004,0.8826931980056981,0.8828008912383912,0.875486074667225
