tamaño,accuracy,precision,recall,f1_score
100,0.6191919191919193,0.5200216450216449,0.5737734487734488,0.5206409331409331
200,0.7610313662945242,0.708390452140452,0.7236531986531987,0.6849803591470258
300,0.7966570466570466,0.7846897546897545,0.7708585858585859,0.7461443719019475
400,0.8324460824460824,0.8238239538239539,0.8231240981240983,0.8014499003670127
500,0.8400527009222661,0.8216017316017316,0.8207818444182081,0.7985020868656558
600,0.841352923171105,0.8417313242313242,0.826567624294897,0.8148113221487836
700,0.8529040404040404,0.8661828323191959,0.8461704709431982,0.8383465572642326
800,0.8699840874498409,0.8815747383929202,0.8723980060343698,0.8642515716640584
900,0.8612274506583449,0.8666669315532952,0.8570043340497886,0.8495193662099377
1000,0.893950493950494,0.899605950933702,0.8828278539642175,0.8822590522877657
