tamaño,tiempo,alpha
90,0.028458833694458008,alpha_53
90,0.016655921936035156,alpha_53
90,0.015426397323608398,alpha_53
90,0.017295122146606445,alpha_94
90,0.016980648040771484,alpha_94
90,0.016440391540527344,alpha_94
2700,0.487703800201416,alpha_53
2700,0.5904252529144287,alpha_53
2700,0.44127392768859863,alpha_53
2700,0.5376467704772949,alpha_94
2700,0.5563418865203857,alpha_94
2700,0.5241508483886719,alpha_94
5400,1.8523890972137451,alpha_53
5400,1.6583855152130127,alpha_53
5400,1.8699839115142822,alpha_53
5400,2.65409255027771,alpha_94
5400,2.2694201469421387,alpha_94
5400,2.016140937805176,alpha_94
8100,2.793073892593384,alpha_53
8100,2.7525572776794434,alpha_53
8100,2.800638198852539,alpha_53
8100,5.223812580108643,alpha_94
8100,4.35578179359436,alpha_94
8100,4.841952562332153,alpha_94
10800,5.78032112121582,alpha_53
10800,6.905485391616821,alpha_53
10800,7.7277350425720215,alpha_53
10800,10.115678071975708,alpha_94
10800,10.523614883422852,alpha_94
10800,10.875848054885864,alpha_94
13500,11.212294340133667,alpha_53
13500,10.829898595809937,alpha_53
13500,10.715888977050781,alpha_53
13500,16.4670569896698,alpha_94
13500,16.645281076431274,alpha_94
13500,17.962184190750122,alpha_94
16200,15.657116413116455,alpha_53
16200,15.52627944946289,alpha_53
16200,15.48051381111145,alpha_53
16200,23.46156334877014,alpha_94
16200,22.83435893058777,alpha_94
16200,22.927170276641846,alpha_94
18900,20.234896183013916,alpha_53
18900,20.470801830291748,alpha_53
18900,20.210201263427734,alpha_53
18900,30.857957363128662,alpha_94
18900,30.631510019302368,alpha_94
18900,30.8317551612854,alpha_94
21600,25.463324069976807,alpha_53
21600,28.424683332443237,alpha_53
21600,25.499969244003296,alpha_53
21600,39.80250835418701,alpha_94
21600,40.99933958053589,alpha_94
21600,41.169381856918335,alpha_94
24300,32.305453300476074,alpha_53
24300,32.07891130447388,alpha_53
24300,34.7644624710083,alpha_53
24300,46.021594762802124,alpha_94
24300,45.92985010147095,alpha_94
24300,42.154844760894775,alpha_94
27000,32.88034272193909,alpha_53
27000,32.338735580444336,alpha_53
27000,32.6194589138031,alpha_53
27000,50.18975472450256,alpha_94
27000,50.422799825668335,alpha_94
27000,50.28913331031799,alpha_94
29700,38.86960172653198,alpha_53
29700,38.72630953788757,alpha_53
29700,38.85953116416931,alpha_53
29700,59.16639447212219,alpha_94
29700,59.064372062683105,alpha_94
29700,59.17296838760376,alpha_94
32400,46.874029874801636,alpha_53
32400,45.54569983482361,alpha_53
32400,46.66264343261719,alpha_53
32400,73.11399865150452,alpha_94
32400,70.9160623550415,alpha_94
32400,73.57860684394836,alpha_94
35100,55.67377996444702,alpha_53
35100,54.00363326072693,alpha_53
35100,53.6551992893219,alpha_53
35100,83.20967364311218,alpha_94
35100,82.83119678497314,alpha_94
35100,82.96615266799927,alpha_94
37800,62.245891094207764,alpha_53
37800,62.23278880119324,alpha_53
37800,63.618788957595825,alpha_53
37800,97.11901831626892,alpha_94
37800,95.75466012954712,alpha_94
37800,95.15228486061096,alpha_94
