tamaño,alpha,accuracy,precision,recall,f1_score
90,53,0.5,0.5,0.5,0.5
90,94,0.3,0.3,0.3,0.3
2700,53,0.8,0.8,0.8,0.8000000000000002
2700,94,0.85,0.85,0.85,0.85
5400,53,0.8133333333333334,0.8133333333333334,0.8133333333333334,0.8133333333333334
5400,94,0.8816666666666667,0.8816666666666667,0.8816666666666667,0.8816666666666667
8100,53,0.8388888888888889,0.8388888888888889,0.8388888888888889,0.8388888888888889
8100,94,0.8255555555555556,0.8255555555555556,0.8255555555555556,0.8255555555555556
10800,53,0.8366666666666667,0.8366666666666667,0.8366666666666667,0.8366666666666667
10800,94,0.8725,0.8725,0.8725,0.8725
13500,53,0.89,0.89,0.89,0.89
13500,94,0.86,0.86,0.86,0.8599999999999999
16200,53,0.8644444444444445,0.8644444444444445,0.8644444444444445,0.8644444444444445
16200,94,0.8816666666666667,0.8816666666666667,0.8816666666666667,0.8816666666666667
18900,53,0.8547619047619047,0.8547619047619047,0.8547619047619047,0.8547619047619046
18900,94,0.8504761904761905,0.8504761904761905,0.8504761904761905,0.8504761904761905
21600,53,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333
21600,94,0.8641666666666666,0.8641666666666666,0.8641666666666666,0.8641666666666666
24300,53,0.37666666666666665,0.37666666666666665,0.37666666666666665,0.37666666666666665
24300,94,0.9207407407407407,0.9207407407407407,0.9207407407407407,0.9207407407407407
27000,53,0.839,0.839,0.839,0.839
27000,94,0.8546666666666667,0.8546666666666667,0.8546666666666667,0.8546666666666667
29700,53,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788
29700,94,0.8878787878787879,0.8878787878787879,0.8878787878787879,0.8878787878787879
32400,53,0.8727777777777778,0.8727777777777778,0.8727777777777778,0.8727777777777778
32400,94,0.8883333333333333,0.8883333333333333,0.8883333333333333,0.8883333333333333
35100,53,0.8710256410256411,0.8710256410256411,0.8710256410256411,0.8710256410256411
35100,94,0.8741025641025642,0.8741025641025642,0.8741025641025642,0.8741025641025642
37800,53,0.8740476190476191,0.8740476190476191,0.8740476190476191,0.8740476190476191
37800,94,0.8909523809523809,0.8909523809523809,0.8909523809523809,0.8909523809523809
